id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0,22.0,3.0,1.0,2.0,60.0,278.63,0.06,19.56,14.25,5448.79,0.09,302.71,17,1,1,0,16.0,9.0,38.0,22.0,5.0,False
1,14.0,2.0,1.0,2.0,32.0,151.27,0.14,7.0,21.11,936.71,0.05,52.04,11,0,1,0,11.0,11.0,18.0,14.0,3.0,False
2,11.0,2.0,1.0,2.0,45.0,197.65,0.11,8.05,22.76,1754.01,0.07,97.45,8,0,1,0,12.0,11.0,28.0,17.0,3.0,False
3,8.0,1.0,1.0,1.0,23.0,94.01,0.19,5.25,17.86,473.66,0.03,26.31,4,0,2,0,8.0,6.0,16.0,7.0,1.0,True
4,11.0,2.0,1.0,2.0,17.0,60.94,0.18,5.63,12.44,365.67,0.02,20.31,7,0,2,0,7.0,6.0,10.0,10.0,3.0,False
5,23.0,4.0,4.0,3.0,69.0,338.21,0.07,14.15,22.81,3772.51,0.11,209.42,17,1,2,0,16.0,10.0,40.0,19.0,7.0,False
6,24.0,4.0,1.0,4.0,60.0,294.41,0.08,12.46,24.62,3295.25,0.1,183.07,19,0,3,0,14.0,13.0,40.0,23.0,7.0,False
7,14.0,1.0,1.0,1.0,49.0,221.65,0.18,5.47,46.06,1183.48,0.07,65.75,11,0,2,0,7.0,18.0,26.0,23.0,1.0,False
8,34.0,10.0,1.0,4.0,122.0,684.98,0.07,14.33,43.43,9941.84,0.23,552.32,29,1,3,0,16.0,29.0,75.0,47.0,19.0,False
9,9.0,2.0,1.0,2.0,16.0,55.35,0.11,9.0,6.15,498.16,0.02,27.68,4,0,2,0,9.0,2.0,12.0,4.0,3.0,False
10,16.0,2.0,1.0,2.0,51.0,236.84,0.11,9.5,23.01,2461.32,0.08,136.74,14,0,0,0,11.0,11.0,32.0,19.0,3.0,False
11,8.0,1.0,1.0,1.0,15.0,51.89,0.19,5.25,9.88,272.43,0.02,15.14,5,0,1,0,7.0,4.0,8.0,7.0,1.0,True
